Hprev,Cprev,Deaths,output,replicate
171.428571428571,33.0,185,61,1
72.4285714285714,18.0,73,61,2
143.142857142857,28.2857142857143,127,61,3
61.7142857142857,18.4285714285714,60,61,4
0,0,0,61,5
89.2857142857143,18.0,76,61,6
40.2857142857143,3.57142857142857,28,61,7
211.142857142857,51.0,244,61,8
7.28571428571429,2.28571428571429,9,61,9
78.7142857142857,17.1428571428571,90,61,10
223.0,49.7142857142857,263,61,11
40.5714285714286,14.0,52,61,12
75.4285714285714,14.5714285714286,68,61,13
159.857142857143,30.7142857142857,134,61,14
100.571428571429,22.7142857142857,125,61,15
46.1428571428572,10.8571428571429,79,61,16
90.2857142857143,20.5714285714286,104,61,17
0,0,0,61,18
73.5714285714286,21.5714285714286,78,61,19
45.8571428571429,8.42857142857143,35,61,20
4.71428571428571,2.42857142857143,6,62,1
16.4285714285714,2.14285714285714,17,62,2
0,0,0,62,3
0.142857142857143,0.0,2,62,4
0,0,0,62,5
2.85714285714286,0.857142857142857,8,62,6
0.0,0.0,0,62,7
0.428571428571429,0.714285714285714,0,62,8
2.42857142857143,1.0,1,62,9
0.428571428571429,0.0,1,62,10
1.0,0.0,0,62,11
0,0,0,62,12
0.428571428571429,0.285714285714286,3,62,13
1.71428571428571,0.0,1,62,14
0.571428571428571,0.0,0,62,15
0,0,0,62,16
3.57142857142857,0.428571428571429,6,62,17
3.14285714285714,0.0,2,62,18
0.0,0.0,0,62,19
12.8571428571429,1.57142857142857,8,62,20
0,0,0,63,1
0,0,0,63,2
0,0,0,63,3
0,0,0,63,4
0.0,0.0,0,63,5
0,0,0,63,6
0,0,0,63,7
0,0,0,63,8
0,0,0,63,9
0,0,0,63,10
0.0,0.0,0,63,11
0,0,0,63,12
0,0,0,63,13
0,0,0,63,14
0,0,0,63,15
0.0,0.0,0,63,16
0,0,0,63,17
0,0,0,63,18
0,0,0,63,19
0,0,0,63,20
0,0,0,64,1
0,0,0,64,2
0,0,0,64,3
0,0,0,64,4
0,0,0,64,5
0,0,0,64,6
0,0,0,64,7
0,0,0,64,8
0,0,0,64,9
0,0,0,64,10
0,0,0,64,11
0,0,0,64,12
0,0,0,64,13
0,0,0,64,14
0,0,0,64,15
0,0,0,64,16
0,0,0,64,17
0,0,0,64,18
0,0,0,64,19
0,0,0,64,20
0,0,0,65,1
0,0,0,65,2
0,0,0,65,3
0,0,0,65,4
0,0,0,65,5
0,0,0,65,6
0,0,0,65,7
0,0,0,65,8
0,0,0,65,9
0,0,0,65,10
0,0,0,65,11
0,0,0,65,12
0,0,0,65,13
0,0,0,65,14
0,0,0,65,15
0,0,0,65,16
0,0,0,65,17
0,0,0,65,18
0,0,0,65,19
0,0,0,65,20
